Provider CCN,Hospital Name,State Code,Region,Region Numeric,Rural Versus Urban,RvU Numeric,CCN Facility Type,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Inpatient Revenue,Outpatient Revenue,Net Income,Net Revenue from Medicaid,Medicaid Charges
140082,LOUIS A. WEISS MEMORIAL HOSPITAL,IL,MW,4,R,2,STH,657019,2532665,1287582,3042815,115733494,93335297,209068791,115733494,93660479,-1616990,5716982,53627473
370018,JANE PHILLIPS MEDICAL CENTER,OK,SW,2,R,2,STH,4120860,8404632,7637819,7944545,82462727,222807576,305270303,82462728,222807576,12049074,4541563,25974006
370227,ST. JOHN OWASSO,OK,SW,2,U,1,STH,1071734,1887381,1957408,2164331,12958174,50886465,63844639,12952404,50892233,3468997,985598,6837508
450040,COVENANT MEDICAL CENTER,TX,SW,2,U,1,STH,14408637,1526104,22211245,22290433,1290665853,680297175,1970963028,1290665853,680297175,46205999,12316478,157372778
340087,THE MCDOWELL HOSPITAL,NC,SE,1,R,2,STH,667120,6032153,2830989,3622343,13747857,63569890,77317747,13747856,65676735,5262489,1914939,10229217
341316,HIGHLANDS CASHIERS HOSPITAL,NC,SE,1,R,2,CAH,37501,683084,528132,627594,1283280,8240647,9523927,1283280,8588806,1482484,162586,470364
140049,WEST SUBURBAN HOSP MED CTR,IL,MW,4,U,1,STH,1327083,3251077,1917646,6126587,113202226,125129657,238331883,113202226,125129657,-6669274,3463291,73782466
450032,GOOD SHEPHERD MEDICAL CENTER,TX,SW,2,U,1,STH,25408326,123360892,46135616,46697300,739285122,1059226135,1798511257,739285123,1059226290,19577143,24094833,218579269
670087,SCOTT & WHITE CEDAR PARK,TX,SW,2,U,1,STH,14997,51101,28167,195413,156419,10900758,11057177,156419,10916055,-486013,67094,909270
41323,ASHLEY COUNTY MEDICAL CENTER,AR,SE,1,R,2,CAH,282089,2357381,1283009,1646662,20288545,48357941,68646486,19954242,54364809,429991,2765770,7207032
181315,FORT LOGAN HOSPITAL,KY,SE,1,R,2,CAH,192842,2785377,1098880,1098880,13027578,54868956,67896534,13112029,56748546,2017608,7340668,11140392
341319,TRANSYLVANIA COMMUNITY HOSPITAL,NC,SE,1,R,2,CAH,483840,3569208,2225732,2487568,7424091,54169157,61593248,8850089,58172212,3282851,1514762,5941780
341326,ANGEL MEDICAL CENTER,NC,SE,1,R,2,CAH,473541,3565617,2143933,2143933,9131290,59644357,68775647,9084288,62813193,429056,1642829,5908103
341329,BLUE RIDGE REGIONAL HOSPITAL,NC,SE,1,R,2,CAH,276392,2874149,1602313,1868371,4578229,43917941,48496170,5619938,44979005,1266707,1316287,5286750
421302,FAIRFIELD MEMORIAL HOSPITAL,SC,SE,1,U,1,CAH,116801,40553,130995,130995,,2317771,2317771,,2393581,-697711,12503,51496
440193,UNIVERSITY MEDICAL CENTER,TN,SE,1,U,1,STH,3590915,11438063,4996110,8725981,224242446,305124508,529366954,224242446,305025889,-3418535,5396348,82610401
131318,WALTER KNOX MEMORIAL HOSPITAL,ID,W,5,R,2,CAH,79417,1703638,1295989,1945987,3659562,21846361,25505923,3954562,25952175,-496348,2496019,4718059
110076,EMORY DECATUR,GA,SE,1,U,1,STH,3287080,7550904,5374070,6078313,98994265,98788646,197782911,98994263,98788644,5689889,6448571,27376824
110226,EMORY HILLANDALE HOSPITAL,GA,SE,1,U,1,STH,1659177,5550669,2664689,2666872,18603730,44314310,62918040,19748390,43173346,7690216,1915791,9502649
241373,PERHAM MEMORIAL HOSPITAL AND HOME,MN,MW,4,R,2,CAH,70904,1324123,919356,3088806,24365180,58599631,82964811,25677028,72414303,460276,4546588,12771314
250079,SHARKEY-ISSAQUENA COMM HOSPITAL,MS,SE,1,R,2,STH,9602,847242,456940,456940,6066939,13362948,19429887,6168993,14228103,-915268,1046539,1240840
41307,CROSSRIDGE COMMUNITY HOSPITAL,AR,SE,1,R,2,CAH,234600,1098501,929000,929000,4584199,19274314,23858513,4604887,21610032,-315053,1045694,2113258
301309,MONADNOCK COMMUNITY HOSPITAL,NH,NE,3,R,2,CAH,5322856,4534271,7380371,7380371,19085804,126983295,146069099,19645119,146760403,2042116,330658,1072841
301310,ANDROSCOGGIN VALLEY HOSPITAL,NH,NE,3,R,2,CAH,491513,3569569,2427468,3432686,17005293,67281664,84286957,18645701,76554702,-153030,6119919,12432777
251325,COVINGTON COUNTY HOSPITAL,MS,SE,1,R,2,CAH,88939,5313481,2574602,3138772,9848975,29953508,39802483,18167435,31401928,-475753,821604,3263734
451347,COLEMAN COUNTY MEDICAL CENTER,TX,SW,2,R,2,CAH,1419456,575735,1690886,1690886,6181518,13827632,20009150,6181519,15007120,1135325,865430,1974485
341304,BERTIE MEMORIAL HOSPITAL,NC,SE,1,R,2,CAH,447071,4296989,2677438,3014841,5892492,35293893,41186385,5965799,35220585,-768953,1816041,4919897
341318,CHOWAN HOSPITAL INC.,NC,SE,1,R,2,CAH,21136,11911869,4160457,4201254,37086659,89092432,126179091,37700692,90353697,7937848,6957046,18643654
341324,THE OUTER BANKS HOSPITAL,NC,SE,1,R,2,CAH,60101,15270233,5395351,5420141,20767956,125129212,145897168,22209473,130110717,22710261,5339210,13421808
451372,MULESHOE AREA MEDICAL CENTER,TX,SW,2,R,2,CAH,1007460,517328,1317349,1317349,2066880,10073407,12140287,2066880,11362061,703863,393344,1761050
11300,WASHINGTON COUNTY HOSPITAL,AL,SE,1,R,2,CAH,13002,1405245,773871,773871,11124234,10622573,21746807,10537715,10693405,1827092,1038283,1699135
241320,RIVERVIEW HEALTHCARE ASSOCIATION,MN,MW,4,R,2,CAH,182613,1217800,1110654,4106112,27435722,71288941,98724663,29042079,76440955,-1288137,4604271,14037412
451306,KIMBLE HOSPITAL,TX,SW,2,R,2,CAH,1122401,695525,1615518,1615518,701565,9299624,10001189,649810,10130622,1488576,2272349,929554
111313,PUTNAM GENERAL HOSPITAL,GA,SE,1,R,2,CAH,30064,1611505,770695,782104,5307610,23281253,28588863,5050343,40279642,1017711,1004969,2608932
371314,PHYSICIANS HOSPITAL AT ANADARKO,OK,SW,2,R,2,CAH,8536,1376875,1104564,1104564,27657024,38408521,66065545,27888308,40020151,-16583018,1074605,4726849
451355,COLLINGSWORTH GENERAL HOSPITAL,TX,SW,2,R,2,CAH,753234,213327,918536,918536,1104256,3943288,5047544,1104256,4322465,66293,342940,528372
241364,COMMUNITY MEMORIAL HOSPITAL,MN,MW,4,R,2,CAH,164607,1208153,1000522,2198438,25363882,75173896,100537778,25768209,92576448,-765690,6788332,17411068
451301,REAGAN MEMORIAL HOSPITAL,TX,SW,2,R,2,CAH,1023445,1385674,3307446,3699173,2176091,6249318,8425409,2178586,7670097,925939,70211,259534
451342,MITCHELL COUNTY HOSPITAL,TX,SW,2,R,2,CAH,797821,3694035,3605054,3605054,3705746,17320984,21026730,3658990,21858987,556910,986744,1867196
451344,HANSFORD COUNTY HOSPITAL DISTRICT,TX,SW,2,R,2,CAH,592145,290805,886529,1338979,2649884,8702324,11352208,6016783,11666794,608357,1414407,1742680
251308,PONTOTOC HEALTH SERVICES,MS,SE,1,R,2,CAH,1700506,4002608,3350959,3678162,13552625,46021561,59574186,18163244,49430699,1814436,1220813,6246558
251331,BMH - CALHOUN,MS,SE,1,R,2,CAH,482687,2427064,1952335,2012462,14654175,14556104,29210279,14664680,15141578,-1698358,780961,2280598
101313,MARINERS HOSPITAL,FL,SE,1,R,2,CAH,2940379,13092770,6824492,7761024,15383264,178732061,194115325,15377453,178752492,17431484,1028476,9421900
111326,SGMC  LANIER CAMPUS,GA,SE,1,U,1,CAH,392050,2384181,2233014,2254440,9945295,10092267,20037562,9945295,10996227,-4270398,516697,1636667
230118,MCLAREN THUMB REGION,MI,MW,4,R,2,STH,27228,675444,397588,489873,16233553,56039013,72272566,17364029,65128604,3160277,2511837,10081403
471307,PORTER HOSPITAL,VT,NE,3,R,2,CAH,139130,3825461,7559508,8406430,36798385,104291097,141089482,36798385,104291097,5403285,2653301,17584016
161321,SANFORD HOSPITAL ROCK RAPIDS,IA,MW,4,R,2,CAH,16409,53111,170265,281099,500426,4335383,4835809,500426,4347081,82652,148500,409583
371316,STROUD REGIONAL MEDICAL CENTER,OK,SW,2,R,2,CAH,9835,1317883,1309572,1368540,37897099,8096047,45993146,38078919,9344264,-16963979,522530,1932801
451340,SHAMROCK GENERAL HOSPITAL,TX,SW,2,R,2,CAH,85263,501598,1114522,1327415,496209,2814261,3310470,589249,2846261,-460261,125133,156172
281339,MEMORIAL HEALTH CARE SYSTEMS,NE,MW,4,R,2,CAH,63899,935695,763076,975059,7035048,32398664,39433712,7375965,36614728,4100357,891942,1591509
341303,FIRSTHEALTH MONTGOMERY MEMORIAL CAH,NC,SE,1,R,2,CAH,290436,8050566,2879113,3450859,4852559,44151813,49004372,5252017,44290264,539547,1279195,7462902
131311,ST. LUKES ELMORE MEDICAL CENTER,ID,W,5,R,2,CAH,1084913,3218042,3052626,4314805,20893214,60980215,81873429,23055483,63896984,2424190,3316330,11059870
251307,NOXUBEE COUNTY HOSPITAL,MS,SE,1,R,2,CAH,145798,2125539,1544339,2350287,9196494,16879132,26075626,9447443,18464860,693356,699077,2470877
251312,TYLER HOLMES MEMORIAL HOSPITAL,MS,SE,1,R,2,CAH,151458,1819733,914180,1069400,10302418,17845306,28147724,10224135,20114028,-642247,731004,2664068
341307,PENDER MEMORIAL HOSPITAL,NC,SE,1,U,1,CAH,240594,4877367,2281133,3305639,13635358,44321047,57956405,13584088,44464768,-3321,1940550,7705681
341317,LIFEBRITE COMMUNITY HOPITAL OF STOK,NC,SE,1,U,1,CAH,11879,6553692,2923166,2923166,8758263,22176698,30934961,9719046,21215915,688649,1231805,2620863
341322,ST LUKES HOSPITAL,NC,SE,1,R,2,CAH,65062,2665289,867638,1716303,52183942,61809314,113993256,53854794,71339248,-1577662,1064972,6846162
341323,CHARLES A. CANNON MEMORIAL HOSPITAL,NC,SE,1,R,2,CAH,258225,3747804,1938947,2326694,13074626,33073417,46148043,14525962,34978692,-1887941,1339555,3782021
421303,WILLIAMSBURG REGIONAL HOSPITAL,SC,SE,1,R,2,CAH,1930687,3018045,3193496,3751117,11128212,33017038,44145250,11308718,39739191,-6811271,1339775,6137958
511306,ROANE GENERAL HOSPITAL,WV,SE,1,R,2,CAH,211930,3081621,1446447,1455369,12138514,73535389,85673903,12176895,74225155,2052042,12393507,23225474
221300,MARTHAS VINEYARD HOSPITAL,MA,NE,3,R,2,CAH,84038,3260941,4131535,4131535,22758914,131065917,153824831,23283966,155955239,7607037,13821716,23617070
241305,RIVERWOOD HEALTHCARE CENTER,MN,MW,4,R,2,CAH,145348,1784582,1074806,1074806,24979518,97461013,122440531,29804741,110464836,5307176,10973897,24085397
371324,HARPER COUNTY COMMUNITY HOSPITAL,OK,SW,2,R,2,CAH,2301,281474,135581,149871,2011667,4133941,6145608,2336933,5602095,-46046,74965,266873
451366,COCHRAN MEMORIAL HOSPITAL,TX,SW,2,R,2,CAH,10760,,10760,272846,54358,1073399,1127757,68784,1073399,-260494,90996,
11302,RED BAY HOSPITAL,AL,SE,1,R,2,CAH,19886,2420918,859781,861695,5950918,17970449,23921367,6261015,17668717,311176,355808,2029149
301301,COTTAGE HOSPITAL,NH,NE,3,R,2,CAH,11618,1851388,1154584,1154584,19131561,39818753,58950314,20824901,43699461,965043,932665,3694441
451310,BALLINGER MEMORIAL HOSPITAL,TX,SW,2,R,2,CAH,518191,1437226,1401560,1401560,4612877,16695144,21308021,4612877,18147242,3174420,1112058,1599226
170075,MERCY HOSPITAL  INC.,KS,MW,4,R,2,STH,41079,192067,213484,262003,2110623,1631229,3741852,2097385,1644467,-482865,70282,130040
341320,ALLEGHANY MEMORIAL HOSPITAL,NC,SE,1,R,2,CAH,26484,1298514,940376,1416096,2088525,18908183,20996708,2399694,20629856,-675542,815175,2738529
421300,ALLENDALE COUNTY HOSPITAL,SC,SE,1,R,2,CAH,135077,2071134,1591080,1891930,3752993,17389815,21142808,3893688,21445892,-121748,836430,2609214
511320,JACKSON GENERAL HOSPITAL,WV,SE,1,R,2,CAH,76125,4951913,1723941,1736958,7457550,67219820,74677370,8298034,82986879,930041,4466287,16453697
221303,ATHOL MEMORIAL HOSPITAL,MA,NE,3,U,1,CAH,236038,1837906,944699,2664404,7793564,62502159,70295723,7951934,75452410,1312188,6106141,19613556
251313,BAPTIST MEDICAL CENTER - YAZOO,MS,SE,1,R,2,CAH,1017260,2076460,1934186,2893099,6897649,30269745,37167394,7348375,30382702,-635811,1569299,6041335
251337,TIPPAH COUNTY HOSPITAL,MS,SE,1,R,2,CAH,1402310,4546135,3300194,3300194,12782747,21187501,33970248,12411311,25524392,-868089,460018,1917414
301302,LITTLETON REGIONAL HEALTHCARE,NH,NE,3,R,2,CAH,297278,4092768,2170314,4792370,32797409,114170744,146968153,34283061,147624879,-8320623,5842653,19649179
451337,W.J. MANGOLD MEMORIAL HOSPITAL,TX,SW,2,R,2,CAH,396718,1148447,1180378,1484559,3288250,10959952,14248202,3288250,10959952,-861169,602830,1250058
451353,CRANE COUNTY HOSPITAL DISTRICT,TX,SW,2,R,2,CAH,551677,501423,1154873,1286386,1505538,8162992,9668530,1534730,8569937,2996096,200603,413001
471301,GIFFORD MEDICAL CENTER,VT,NE,3,R,2,CAH,20743,2361692,1342640,4570715,23615040,71918756,95533796,27333205,81841375,1594214,2321401,15336138
471304,NORTH COUNTRY HOSPITAL & HEALTH CTR,VT,NE,3,R,2,CAH,96490,5584407,2798503,10360151,35349216,120776531,156125747,40066607,150704726,2384991,5190290,36303953
41310,STONE COUNTY MEDICAL CENTER,AR,SE,1,R,2,CAH,11601,1295514,714502,714502,12538188,41202953,53741141,10219159,45173579,371803,1191050,3719294
101312,FISHERMENS HOSPITAL,FL,SE,1,R,2,CAH,298548,3193768,1591420,1787604,92638,10847327,10939965,91868,10848097,-1591019,407295,1488397
320090,SANTA FE MEDICAL CENTER,NM,SW,2,U,1,STH,81264,,83812,2646356,9118699,16985287,26103986,9359516,37801751,-16020223,1454484,8232319
451300,PARMER COUNTY COMMUNITY HOSPITAL,TX,SW,2,R,2,CAH,1165696,679381,1918574,1918574,1984499,8053829,10038328,1866499,9053098,-184302,296246,385793
41327,BRADLEY COUNTY MEDICAL CENTER,AR,SE,1,R,2,CAH,202935,2467771,1252277,1252277,11711332,35657006,47368338,11482618,36726843,-519138,2005553,4433062
50773,SAN LEANDRO HOSPITAL,CA,W,5,U,1,STH,73150,1098873,358794,4107015,48662713,8698087,57360800,48687577,8673223,-739606,1913541,24025539
180095,CRITTENDEN COUNTY HOSPITAL  INC,KY,SE,1,R,2,STH,1381,400751,166077,1027132,1425302,4090258,5515560,1437423,4450371,-1119717,491586,3277238
201300,BLUE HILL MEMORIAL HOSPITAL,ME,NE,3,R,2,CAH,361738,1786390,1541434,1541434,7301323,41411444,48712767,7699376,51494510,1790754,4683796,5996679
201312,WALDO COUNTY GENERAL HOSPITAL,ME,NE,3,R,2,CAH,215481,3766045,2452013,2452013,21288127,94772440,116060567,25391235,106422696,-29830306,11928359,18552269
201315,STEPHENS MEMORIAL HOSPITAL - CAH,ME,NE,3,R,2,CAH,235242,5506121,3454120,3454120,17802429,76326269,94128698,21571396,84927633,2250715,11486704,15851086
301303,WEEKS MEDICAL CENTER,NH,NE,3,R,2,CAH,70955,1711888,1886798,2951350,12182502,71361223,83543725,12182730,77202431,3314033,5270456,11822486
301307,MEMORIAL HOSPITAL,NH,NE,3,R,2,CAH,102334,5135091,3312935,3523752,20230932,93565459,113796391,21856571,103498548,544528,98888,529954
301308,VALLEY REGIONAL HOSPITAL,NH,NE,3,R,2,CAH,774222,3116689,2908333,3842867,8427050,56132961,64560011,8907365,66052238,846355,3186517,10537142
301312,HUGGINS HOSPITAL,NH,NE,3,R,2,CAH,144458,2668673,1966025,3263764,19740318,89614071,109354389,19867633,102673377,2093840,2757490,9278044
331302,ELIZABETHTOWN COMMUNITY HOSPITAL,NY,NE,3,R,2,CAH,956915,1558756,1637143,4656054,8914343,67886338,76800681,9324577,76296590,3193884,2065484,11163048
471303,NORTHEASTERN VT REGIONAL HOPSITAL,VT,NE,3,R,2,CAH,1182210,3087932,3153899,7202175,48662917,112219497,160882414,48227115,129567187,1589626,12118287,36470274
521343,STOUGHTON HOSPITAL ASSOCIATION,WI,MW,4,R,2,CAH,64477,1353471,840408,2305354,23699530,73359203,97058733,26619774,87203116,3006008,1462925,8034068
521348,VERNON MEMORIAL HOSPITAL,WI,MW,4,R,2,CAH,232848,2440597,2818696,4688563,37575953,85818382,123394335,41046602,110578404,2051981,5797276,16698558
201302,LINCOLNHEALTH,ME,NE,3,R,2,CAH,422987,4227920,2977811,2977811,28717927,70807148,99525075,32352187,78428430,2939627,6866646,8669962
511309,WAR MEMORIAL HOSPITAL,WV,SE,1,R,2,CAH,164514,1514630,995816,1528151,11302544,37404558,48707102,11315683,42185199,2226605,3243087,7834500
31317,LA PAZ REGIONAL HOSPITAL,AZ,SW,2,R,2,CAH,84951,3978661,1309241,1801459,20855034,66227771,87082805,22029031,69014087,731520,4607000,17000000
491307,PAGE MEMORIAL HOSPITAL,VA,SE,1,R,2,CAH,669273,4349960,2806248,5436561,7121988,58084225,65206213,7110988,62288620,-1294283,1873087,8995699
141320,PARIS COMMUNITY HOSPITAL,IL,MW,4,R,2,CAH,697824,4052121,2646132,9407632,10343835,94994621,105338456,12314443,110950474,866083,6094008,25861946
141327,WABASH GENERAL HOSPITAL,IL,MW,4,R,2,CAH,144815,4280803,1783731,1783731,34148959,72047957,106196916,36192434,83008842,5190999,7437608,18150925
501331,PULLMAN REGIONAL HOSPITAL,WA,W,5,R,2,CAH,204988,1625328,1435432,2178973,31335371,94364856,125700227,31982661,100255441,1569551,6454207,14998526
251334,CHOCTAW REGIONAL MEDICAL CENTER,MS,SE,1,R,2,CAH,44285,1424560,1014103,1022985,13357446,18558960,31916406,13419306,20838515,-175447,1149039,2113214
61325,PIONEERS MEDICAL CENTER,CO,W,5,R,2,CAH,10637,887297,843271,1375900,15733278,15863522,31596800,16627814,16694229,1100528,2130877,4424723
280131,MIDWEST SURGICAL HOSPITAL,NE,MW,4,U,1,STH,7507,637880,205727,205727,65438489,82315643,147754132,65438489,82315643,21828353,925019,3755115
41331,OZARKS COMMUNITY HOSPITAL OF GRAVETT,AR,SE,1,R,2,CAH,921098,5594875,3410989,8832666,31520811,70697863,102218674,31520811,70697864,-1179100,636289,13346095
251335,JOHN C. STENNIS MEMORIAL HOSPITAL,MS,SE,1,R,2,CAH,353498,260731,1091026,1097901,7328043,25298070,32626113,7586834,25468259,-1804262,1239934,3022300
131328,BONNER GENERAL HOSPITAL,ID,W,5,R,2,CAH,161523,4300685,2822276,3402066,21707461,58622736,80330197,23261038,76798267,530959,2826001,6898357
171384,NEWMAN REGIONAL HEALTH,KS,MW,4,R,2,CAH,1194559,4717830,3773612,5978932,33332157,94249399,127581556,33400692,105043486,-3176749,3675978,12354163
201309,MAYO REGIONAL HOSPITAL,ME,NE,3,R,2,CAH,1127165,4105317,3631434,3912488,12750153,71815522,84565675,12748851,71918348,-3023743,5658795,10964310
461302,MOAB REGIONAL HOSPITAL,UT,W,5,R,2,CAH,1667565,2514550,3269305,3278338,9286141,41881045,51167186,9729409,51143104,3330570,2196347,4919033
341325,ASHE MEMORIAL HOSPITAL,NC,SE,1,R,2,CAH,251034,5074694,2052145,2159717,15033047,58757646,73790693,16395892,62982023,-670519,2422298,7954996
511311,HAMPSHIRE MEMORIAL HOSPITAL,WV,SE,1,R,2,CAH,92844,1544046,1145801,2507542,9274343,42155406,51429749,9317869,45448358,-253671,3900107,10039376
501325,FORKS COMMUNITY HOSPITAL,WA,W,5,R,2,CAH,272285,950509,1049362,3324446,9277093,34860519,44137612,9706639,41198000,-192598,6720029,13844152
241329,LAKEWOOD HEALTH SYSTEM,MN,MW,4,R,2,CAH,316835,1403645,1643139,1643139,38793210,106096951,144890161,44490213,120388241,4620984,21906578,33046967
261324,CASS REGIONAL MEDICAL CENTER,MO,MW,4,R,2,CAH,312987,14045245,4135326,5473065,32839598,187501319,220340917,35785589,195540883,6749163,4052962,21349059
463301,PRIMARY CHILDRENS HOSPITAL,UT,W,5,U,1,CH,8944552,12402463,16085380,16085380,812346265,357514115,1169860380,814056788,373164220,142110535,147984277,398863563
251302,MONROE REGIONAL HOSPITAL,MS,SE,1,R,2,CAH,1491585,3608783,3735951,3735951,14116019,33615287,47731306,14899151,37454597,-3630528,1323090,3554714
491305,SHENANDOAH MEMORIAL HOSPITAL,VA,SE,1,R,2,CAH,978195,5903561,4354808,8600997,22812889,109539266,132352155,22853722,115492426,7160995,4101454,17525945
131301,BOUNDARY COMMUNITY HOSPITAL,ID,W,5,R,2,CAH,27778,627408,504868,504868,4941958,12315161,17257119,4995838,14198222,222489,2265407,3370779
271335,COMMUNITY HOSPITAL OF ANACONDA,MT,W,5,R,2,CAH,286400,1620666,1066275,1066275,26273615,72950703,99224318,31116193,94578065,6063906,13746709,21092707
61305,MELISSA MEMORIAL HOSPITAL,CO,W,5,R,2,CAH,51022,957115,646964,646964,5743883,16611579,22355462,5892624,19633366,-339133,1073555,2677305
254007,BRENTWOOD BEHAVIORAL HEALTHCARE,MS,SE,1,U,1,PH,1327129,963422,1837761,1837761,42417965,1561245,43979210,42417965,1561245,4423186,9356591,27700200
670010,MAYHILL HOSPITAL,TX,SW,2,U,1,STH,20628,669648,255005,371335,38575000,2882350,41457350,38575000,2882350,-463226,74356,675100
511315,POTOMAC VALLEY HOSPITAL,WV,SE,1,R,2,CAH,176823,1701256,1256303,2098786,11988858,42269559,54258417,12650928,50014955,575000,5200367,11833727
251318,NORTH SUNFLOWER COUNTY HOSPITAL,MS,SE,1,R,2,CAH,127624,1556903,842436,1402269,30520983,48716948,79237931,30625685,70410889,-5071914,4723816,9304577
431322,FALL RIVER HOSPITAL,SD,MW,4,R,2,CAH,344455,1374019,1613366,1658412,12698475,21087583,33786058,12683772,22065411,592066,863936,1441902
501302,DAYTON GENERAL HOSPITAL,WA,W,5,R,2,CAH,69349,356689,350615,1418472,8852353,17956738,26809091,8980945,19926677,495356,3335505,6254601
501327,WHITMAN HOSPITAL & MEDICAL CENTER,WA,W,5,R,2,CAH,178680,659796,568430,1066025,10709017,33326413,44035430,11450881,36564040,1767819,4714321,7771845
241366,MEEKER COUNTY MEMORIAL HOSPITAL,MN,MW,4,R,2,CAH,62100,1222926,896664,1531715,17015600,39795547,56811147,17777278,42161129,4000395,3690712,8096814
271325,ST LUKE COMMUNITY HOSPITAL,MT,W,5,R,2,CAH,54916,436259,849259,2405640,13762406,42532110,56294516,13752406,46197425,4848923,7812213,13798997
501338,SNOQUALMIE VALLEY HOSPITAL,WA,W,5,R,2,CAH,26213,1074375,1677910,2066307,28544993,19425130,47970123,29192926,24458200,-60639,3289430,4659093
451361,PREFERRED HOSPITAL LEASING HEMPHILL,TX,SW,2,R,2,CAH,864534,659565,1224953,1224953,1634556,13499721,15134277,1633057,15079957,841854,2509868,2025811
110087,NORTHSIDE HOSPITAL GWINNETT,GA,SE,1,U,1,STH,4330249,12486246,6992294,7447083,129668609,190881822,320550431,134961988,203594045,-17424356,3609898,19408056
170187,SALINA SURGICAL HOSPITAL,KS,MW,4,R,2,STH,6098,501796,144330,509003,22645274,54948791,77594065,22645274,54948791,4971974,328949,2670344
361313,MORROW COUNTY HOSPITAL,OH,MW,4,R,2,CAH,261049,2475526,1724790,3827264,3889956,43718603,47608559,3804337,44679361,-2839575,1349702,9357867
511321,ST. JOSEPHS HOSPITAL OF BUCKHANNON,WV,SE,1,R,2,CAH,368620,3371874,2733097,3682168,11883026,103787320,115670346,12848906,129040876,7527000,14579411,34463886
151322,PERRY COUNTY HOSPITAL,IN,MW,4,R,2,CAH,228041,2672743,1156161,3011241,12508453,90368109,102876562,12479309,91980919,1596943,2963367,13954176
501309,PROVIDENCE ST JOSEPHS HOSPITAL,WA,W,5,R,2,CAH,174747,282795,691766,1566671,7262651,27912649,35175300,7262753,29546489,-3134166,3458814,8819699
171311,ROOKS COUNTY HEALTH CENTER,KS,MW,4,R,2,CAH,54769,940334,699395,897597,4880712,19955103,24835815,4895074,21956848,299613,272363,1380497
171385,COFFEY COUNTY HOSPITAL,KS,MW,4,R,2,CAH,50411,1502293,899011,1180271,6400278,30529364,36929642,6540271,33580356,-12547,1986500,3664231
501323,JEFFERSON GENERAL HOSPITAL,WA,W,5,R,2,CAH,955378,4156476,3675102,5745859,39520345,187734409,227254754,44575269,220587323,4530787,14850767,37725365
191306,WEST FELICIANA PARISH HOSPITAL,LA,SE,1,U,1,CAH,36754,2066224,1868750,2761987,1403959,24613320,26017279,1454108,27987707,478094,4795903,6337230
321306,LINCOLN COUNTY MEDICAL CENTER,NM,SW,2,R,2,CAH,900727,1614526,2124146,2231110,27393003,72022750,99415753,28198009,87047176,6233627,10956806,30631452
